paper_id,num_figures
2603.03073v2,11
2603.03237v1,12
2603.03342v1,9
2603.03350v1,3
2603.03603v1,5
2603.03604v1,4
2603.03654v1,115
2603.03682v1,2
2603.03890v1,12
2603.03938v1,13
2603.04074v1,6
2603.04081v1,11
2603.04438v2,6
2603.04480v1,8
2603.04622v1,5
2603.04638v1,6
2603.04926v1,5
2603.05058v1,17
2603.05133v1,5
2603.05159v1,9
2603.05183v1,9
2603.05220v1,1
2603.05247v1,4
2603.05534v1,6
2603.05535v1,2
2603.05537v2,3
2603.05541v1,8
2603.05681v1,3
2603.05693v1,5
2603.05726v1,6
2603.05756v1,10
2603.05834v1,9
2603.05987v1,31
2603.06087v1,19
2603.06095v2,5
2603.06254v1,4
2603.06279v1,5
2603.06338v1,24
2603.06567v1,12
2603.06618v1,8
2603.06684v1,5
2603.06694v1,9
2603.06740v2,18
2603.06756v1,1
2603.06766v1,6
2603.06819v2,5
2603.07254v2,11
2603.07279v1,5
2603.07364v1,7
2603.08215v1,2
2603.08217v1,10
2603.08249v1,3
2603.08345v1,5
2603.08385v2,6
2603.08444v2,7
2603.08503v1,7
2603.08521v1,9
2603.08751v2,8
2603.09042v1,7
2603.09075v1,8
2603.09106v1,12
2603.09116v1,13
2603.09162v1,9
2603.09531v2,4
2603.09657v1,15
2603.09737v1,5
2603.09760v1,6
2603.09840v1,14
2603.10093v2,2
2603.10188v1,12
2603.10302v2,8
2603.10454v1,5
2603.10671v1,4
2603.10704v1,3
2603.10791v1,13
2603.10947v1,4
2603.11084v1,2
2603.11294v1,6
2603.11296v1,4
2603.11330v1,3
2603.11344v2,16
2603.11476v1,20
2603.11850v1,7
2603.11876v1,6
2603.12016v1,8
2603.12083v1,17
2603.12144v1,14
2603.12253v2,4
2603.12281v1,6
2603.12294v2,5
2603.12307v1,18
2603.12349v1,7
2603.12351v1,8
2603.12445v1,25
2603.12581v1,4
2603.12624v1,9
2603.12667v1,8
2603.12694v1,7
2603.12715v1,13
2603.12716v1,6
2603.12773v1,7
2603.12800v2,8
2603.12951v1,3
2603.13007v1,9
2603.13024v1,3
2603.13051v1,3
2603.13082v1,6
2603.13108v1,16
2603.13162v1,22
2603.13204v1,6
2603.13328v1,8
2603.13342v1,1
2603.13392v1,9
2603.13405v1,5
2603.13422v1,3
2603.13439v1,4
2603.13447v1,8
2603.13466v1,4
2603.13597v1,12
2603.13666v1,3
2603.13699v1,11
2603.13877v1,4
2603.13937v1,7
2603.13967v1,2
2603.13969v1,4
2603.14124v1,5
2603.14391v1,3
2603.14461v1,14
2603.14610v2,17
2603.14621v1,5
2603.14644v3,11
2603.14806v1,11
2603.14832v2,2
2603.15006v1,5
2603.15143v2,1
2603.15154v1,2
2603.15184v1,3
2603.15217v2,9
2603.15475v1,11
2603.15702v1,1
2603.15711v1,37
2603.15717v1,7
2603.15980v1,4
2603.16016v1,19
2603.16050v1,6
2603.16185v1,6
2603.16562v1,6
2603.16587v1,8
2603.16741v1,7
2603.16788v1,11
2603.16789v1,4
2603.16894v1,14
2603.16908v1,6
2603.16927v1,12
2603.16940v1,9
2603.16942v1,7
2603.16957v1,9
2603.16963v1,2
2603.16984v1,7
2603.17126v1,4
2603.17156v1,11
2603.17191v1,13
2603.17219v2,7
2603.17247v1,4
2603.17358v1,15
2603.17380v2,4
2603.17415v1,10
2603.17547v1,5
2603.17702v1,7
2603.17765v1,5
2603.18042v1,8
2603.18050v1,6
2603.18119v1,1
2603.18123v3,3
2603.18239v1,8
2603.18249v1,6
2603.18305v1,3
2603.18497v1,8
2603.18544v1,9
2603.18571v1,4
2603.18572v1,8
2603.18723v1,1
2603.19187v1,17
2603.19326v1,10
2603.19341v1,14
2603.19386v1,2
2603.19577v1,2
2603.19761v2,11
2603.19801v1,10
2603.19925v1,2
2603.19994v1,1
2603.19995v2,8
2603.20045v1,3
2603.20077v1,5
2603.20115v1,11
2603.20263v1,7
2603.20284v2,10
2603.20290v1,22
2603.20353v1,6
2603.20355v1,2
2603.20420v2,4
2603.20448v1,20
2603.20700v1,5
2603.20999v2,4
2603.21020v1,5
2603.21510v2,15
2603.21743v4,8
2603.21760v1,4
2603.21786v1,10
2603.21891v1,14
2603.21911v1,7
2603.22371v1,4
2603.22378v1,22
2603.22477v1,5
2603.22496v1,7
2603.22627v1,5
2603.22776v1,11
2603.22842v1,7
2603.22856v1,15
2603.23096v1,7
2603.23297v1,12
2603.23390v1,9
2603.23779v1,5
2603.23869v1,12
2603.23965v1,16
2603.24009v1,4
2603.24026v1,7
2603.24109v1,6
2603.24176v2,7
2603.24578v1,3
2603.24633v1,3
2603.24733v1,9
2603.24745v1,13
2603.24968v1,2
2603.25240v1,9
2603.25283v1,10
2603.25351v1,2
2603.25384v1,7
2603.25441v1,20
2603.25455v1,14
2603.25510v1,3
2603.25566v1,7
2603.25645v1,20
2603.25713v1,3
2603.25755v1,2
2603.25758v1,13
