figure_id,paper_id,field,image_path,phash
FIG_00012319,2605.30863v1,CV,figures/CV/FIG_00012319.png,eadd2a84852edd4a
FIG_00012353,2605.30846v1,CV,figures/CV/FIG_00012353.png,bf91c16c86cb2d94
FIG_00012354,2605.30846v1,CV,figures/CV/FIG_00012354.png,bf91c16c86cb2d94
FIG_00012654,2605.30248v2,CV,figures/CV/FIG_00012654.png,cab5a4d9954a7362
FIG_00012655,2605.30248v2,CV,figures/CV/FIG_00012655.png,cab5a4d9954a7362
FIG_00012839,2605.30060v2,CV,figures/CV/FIG_00012839.png,ae0af0d5d5a5e1c1
FIG_00012840,2605.30060v2,CV,figures/CV/FIG_00012840.png,ae0af0d5d5a5e1c1
FIG_00013003,2605.29691v1,CV,figures/CV/FIG_00013003.png,ef70947cc147c01f
FIG_00013004,2605.29691v1,CV,figures/CV/FIG_00013004.png,ef70947cc147c01f
FIG_00013262,2605.29339v1,CV,figures/CV/FIG_00013262.png,9e43d05bacacd3d0
FIG_00013263,2605.29339v1,CV,figures/CV/FIG_00013263.png,9e43d05bacacd3d0
FIG_00013342,2605.29220v1,CV,figures/CV/FIG_00013342.png,a727d8d890d8d9d8
FIG_00013343,2605.29220v1,CV,figures/CV/FIG_00013343.png,a727d8d890d8d9d8
FIG_00013745,2605.31352v1,ROBOTICS,figures/ROBOTICS/FIG_00013745.png,e966b49396b19649
FIG_00013746,2605.31352v1,ROBOTICS,figures/ROBOTICS/FIG_00013746.png,e966b49396b19649
FIG_00013807,2605.31067v1,ROBOTICS,figures/ROBOTICS/FIG_00013807.png,f69d807b8bc69462
FIG_00013808,2605.31067v1,ROBOTICS,figures/ROBOTICS/FIG_00013808.png,f69d807b8bc69462
FIG_00013823,2605.30989v1,ROBOTICS,figures/ROBOTICS/FIG_00013823.png,ab3ed42186da83ae
FIG_00013825,2605.30989v1,ROBOTICS,figures/ROBOTICS/FIG_00013825.png,ab3ed42186da83ae
FIG_00013837,2605.30928v1,ROBOTICS,figures/ROBOTICS/FIG_00013837.png,ee85997a841bdac1
FIG_00013838,2605.30928v1,ROBOTICS,figures/ROBOTICS/FIG_00013838.png,ee85997a841bdac1
FIG_00013894,2605.30696v1,ROBOTICS,figures/ROBOTICS/FIG_00013894.png,bf33c11ce0c7ccc8
FIG_00013895,2605.30696v1,ROBOTICS,figures/ROBOTICS/FIG_00013895.png,bf33c11ce0c7ccc8
FIG_00013947,2605.30503v1,ROBOTICS,figures/ROBOTICS/FIG_00013947.png,ff2e813ad4c58585
FIG_00013948,2605.30503v1,ROBOTICS,figures/ROBOTICS/FIG_00013948.png,ff6f9081c41bc592
FIG_00013949,2605.30503v1,ROBOTICS,figures/ROBOTICS/FIG_00013949.png,ff6f9081c41bc592
FIG_00013950,2605.30503v1,ROBOTICS,figures/ROBOTICS/FIG_00013950.png,ff2e813ad4c58585
FIG_00013979,2605.30313v2,ROBOTICS,figures/ROBOTICS/FIG_00013979.png,fe81b736945981ca
